Máquina,Lucro Líquido Total,Falhas Simples,Falhas Graves,Falhas Totais,Paradas Preventivas
0,-73615.0,8,4,3,110
1,233512.0,9,8,1,6
2,21546.0,19,5,1,69
3,184898.0,14,7,1,16
4,-29089.0,8,4,2,97
5,318936.0,14,5,0,2
6,62102.0,7,6,3,54
7,-46442.0,8,2,2,122
8,92354.0,12,4,1,37
9,143492.0,13,3,1,12
365,0,0,0,0,10
366,0,0,0,0,10
367,0,0,0,0,10
368,0,0,0,0,10
369,0,0,0,0,10
370,0,0,0,0,10
371,0,0,0,0,10
372,0,0,0,0,10
373,0,0,0,0,10
374,0,0,0,0,10
375,0,0,0,0,10
376,0,0,0,0,10
377,0,0,0,0,10
378,0,0,0,0,10
379,0,0,0,0,10
380,0,0,0,0,10
381,0,0,0,0,10
382,0,0,0,0,10
383,0,0,0,0,10
384,0,0,0,0,10
385,0,0,0,0,10
386,0,0,0,0,10
387,0,0,0,0,10
388,0,0,0,0,10
389,0,0,0,0,10
390,0,0,0,0,10
391,0,0,0,0,10
392,0,0,0,0,10
393,0,0,0,0,10
394,0,0,0,0,10
395,0,0,0,0,10
396,0,0,0,0,10
397,0,0,0,0,10
398,0,0,0,0,10
399,0,0,0,0,10
400,0,0,0,0,10
401,0,0,0,0,10
402,0,0,0,0,10
403,0,0,0,0,10
404,0,0,0,0,10
405,0,0,0,0,10
406,0,0,0,0,10
407,0,0,0,0,10
408,0,0,0,0,10
409,0,0,0,0,10
410,0,0,0,0,10
411,0,0,0,0,10
412,0,0,0,0,10
413,0,0,0,0,10
414,0,0,0,0,10
415,0,0,0,0,10
416,0,0,0,0,10
417,0,0,0,0,10
418,0,0,0,0,10
419,0,0,0,0,10
420,0,0,0,0,10
421,0,0,0,0,10
422,0,0,0,0,10
423,0,0,0,0,10
424,0,0,0,0,10
425,0,0,0,0,10
426,0,0,0,0,10
427,0,0,0,0,10
428,0,0,0,0,10
429,0,0,0,0,10
430,0,0,0,0,10
431,0,0,0,0,10
432,0,0,0,0,10
433,0,0,0,0,10
434,0,0,0,0,10
435,0,0,0,0,10
436,0,0,0,0,10
437,0,0,0,0,10
438,0,0,0,0,10
439,0,0,0,0,10
440,0,0,0,0,10
441,0,0,0,0,10
442,0,0,0,0,10
443,0,0,0,0,10
444,0,0,0,0,10
445,0,0,0,0,10
446,0,0,0,0,10
447,0,0,0,0,10
448,0,0,0,0,10
449,0,0,0,0,10
450,0,0,0,0,10
451,0,0,0,0,10
452,0,0,0,0,10
453,0,0,0,0,10
454,0,0,0,0,10
455,0,0,0,0,10
456,0,0,0,0,10
457,0,0,0,0,10
458,0,0,0,0,10
459,0,0,0,0,10
460,0,0,0,0,10
461,0,0,0,0,10
462,0,0,0,0,10
463,0,0,0,0,10
464,0,0,0,0,10
465,0,0,0,0,10
466,0,0,0,0,10
467,0,0,0,0,10
468,0,0,0,0,10
469,0,0,0,0,10
470,0,0,0,0,10
471,0,0,0,0,10
472,0,0,0,0,10
473,0,0,0,0,10
474,0,0,0,0,10
475,0,0,0,0,10
476,0,0,0,0,10
477,0,0,0,0,10
478,0,0,0,0,10
479,0,0,0,0,10
480,0,0,0,0,10
481,0,0,0,0,10
482,0,0,0,0,10
483,0,0,0,0,10
484,0,0,0,0,10
485,0,0,0,0,10
486,0,0,0,0,10
487,0,0,0,0,10
488,0,0,0,0,10
489,0,0,0,0,10
490,0,0,0,0,10
491,0,0,0,0,10
492,0,0,0,0,10
493,0,0,0,0,10
494,0,0,0,0,10
495,0,0,0,0,10
496,0,0,0,0,10
497,0,0,0,0,10
498,0,0,0,0,10
499,0,0,0,0,10
500,0,0,0,0,10
501,0,0,0,0,10
502,0,0,0,0,10
503,0,0,0,0,10
504,0,0,0,0,10
505,0,0,0,0,10
506,0,0,0,0,10
507,0,0,0,0,10
508,0,0,0,0,10
509,0,0,0,0,10
510,0,0,0,0,10
511,0,0,0,0,10
512,0,0,0,0,10
513,0,0,0,0,10
514,0,0,0,0,10
515,0,0,0,0,10
516,0,0,0,0,10
517,0,0,0,0,10
518,0,0,0,0,10
519,0,0,0,0,10
520,0,0,0,0,10
521,0,0,0,0,10
522,0,0,0,0,10
523,0,0,0,0,10
524,0,0,0,0,10
525,0,0,0,0,10
526,0,0,0,0,10
527,0,0,0,0,10
528,0,0,0,0,10
529,0,0,0,0,10
530,0,0,0,0,10
531,0,0,0,0,10
532,0,0,0,0,10
533,0,0,0,0,10
534,0,0,0,0,10
535,0,0,0,0,10
536,0,0,0,0,10
537,0,0,0,0,10
538,0,0,0,0,10
539,0,0,0,0,10
540,0,0,0,0,10
541,0,0,0,0,10
542,0,0,0,0,10
543,0,0,0,0,10
544,0,0,0,0,10
545,0,0,0,0,10
546,0,0,0,0,10
547,0,0,0,0,10
548,0,0,0,0,10
549,0,0,0,0,10
550,0,0,0,0,10
551,0,0,0,0,10
552,0,0,0,0,10
553,0,0,0,0,10
554,0,0,0,0,10
555,0,0,0,0,10
556,0,0,0,0,10
557,0,0,0,0,10
558,0,0,0,0,10
559,0,0,0,0,10
560,0,0,0,0,10
561,0,0,0,0,10
562,0,0,0,0,10
563,0,0,0,0,10
564,0,0,0,0,10
565,0,0,0,0,10
566,0,0,0,0,10
567,0,0,0,0,10
568,0,0,0,0,10
569,0,0,0,0,10
570,0,0,0,0,10
571,0,0,0,0,10
572,0,0,0,0,10
573,0,0,0,0,10
574,0,0,0,0,10
575,0,0,0,0,10
576,0,0,0,0,10
577,0,0,0,0,10
578,0,0,0,0,10
579,0,0,0,0,10
580,0,0,0,0,10
581,0,0,0,0,10
582,0,0,0,0,10
583,0,0,0,0,10
584,0,0,0,0,10
585,0,0,0,0,10
586,0,0,0,0,10
587,0,0,0,0,10
588,0,0,0,0,10
589,0,0,0,0,10
590,0,0,0,0,10
591,0,0,0,0,10
592,0,0,0,0,10
593,0,0,0,0,10
594,0,0,0,0,10
595,0,0,0,0,10
596,0,0,0,0,10
597,0,0,0,0,10
598,0,0,0,0,10
599,0,0,0,0,10
600,0,0,0,0,10
601,0,0,0,0,10
602,0,0,0,0,10
603,0,0,0,0,10
604,0,0,0,0,10
605,0,0,0,0,10
606,0,0,0,0,10
607,0,0,0,0,10
608,0,0,0,0,10
609,0,0,0,0,10
610,0,0,0,0,10
611,0,0,0,0,10
612,0,0,0,0,10
613,0,0,0,0,10
614,0,0,0,0,10
615,0,0,0,0,10
616,0,0,0,0,10
617,0,0,0,0,10
618,0,0,0,0,10
619,0,0,0,0,10
620,0,0,0,0,10
621,0,0,0,0,10
622,0,0,0,0,10
623,0,0,0,0,10
624,0,0,0,0,10
625,0,0,0,0,10
626,0,0,0,0,10
627,0,0,0,0,10
628,0,0,0,0,10
629,0,0,0,0,10
630,0,0,0,0,10
631,0,0,0,0,10
632,0,0,0,0,10
633,0,0,0,0,10
634,0,0,0,0,10
635,0,0,0,0,10
636,0,0,0,0,10
637,0,0,0,0,10
638,0,0,0,0,10
639,0,0,0,0,10
640,0,0,0,0,10
641,0,0,0,0,10
642,0,0,0,0,10
643,0,0,0,0,10
